,ward,diagnosis,Gross_Amount,# of Patient
4536,Mathare North Ward,Alcoholic gastritis - Gastritis and duodenitis,3583.68,1
4537,Mathare North Ward,Allergic contact dermatitis,19937.230000000003,4
4538,Mathare North Ward,Allergic rhinitis - unspecified,25242.89,8
4539,Mathare North Ward,Alopecia areata,3355.36,1
4540,Mathare North Ward,Amoebiasis,14509.52,3
4541,Mathare North Ward,Anaemia - unspecified,500.0,1
4542,Mathare North Ward,Antenatal screening,14443.7,4
4543,Mathare North Ward,Arthritis - unspecified,6562.56,2
4544,Mathare North Ward,Atopic dermatitis,10750.4,2
4545,Mathare North Ward,Bacterial pneumonia - unspecified,7369.44,1
4546,Mathare North Ward,Benign lipomatous neoplasm,4380.16,1
4547,Mathare North Ward,Calculus of lower urinary tract,12751.32,3
4548,Mathare North Ward,Calculus of lower urinary tract - unspecified,1000.0,1
4549,Mathare North Ward,Candidiasis of vulva and vagina - Candidiasis,5804.8,1
4550,Mathare North Ward,Chest pain - unspecified,3961.28,1
4551,Mathare North Ward,Chronic atrophic gastritis - Gastritis and duodenitis,3632.96,1
4552,Mathare North Ward,Chronic gastritis - unspecified,19058.2,4
4553,Mathare North Ward,Chronic laryngitis - Chronic laryngitis and laryngotracheitis,500.0,1
4554,Mathare North Ward,Chronic nasopharyngitis - Chronic rhinitis,14319.44,3
4555,Mathare North Ward,Chronic rhinitis,3907.4,1
4556,Mathare North Ward,Chronic tonsillitis - Chronic diseases of tonsils and adenoids,8196.82,2
4557,Mathare North Ward,Cough,4054.4,1
4558,Mathare North Ward,Crushing injury of head,5200.0,1
4559,Mathare North Ward,Crushing injury of shoulder and upper arm,501.0,1
4560,Mathare North Ward,Dental caries,76036.42,14
4561,Mathare North Ward,Dental caries - unspecified,20344.16,4
4562,Mathare North Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,16569.129999999997,2
4563,Mathare North Ward,Essential (primary) hypertension,67293.06999999999,13
4564,Mathare North Ward,Fever of other and unknown origin,17308.32,1
4565,Mathare North Ward,Functional dyspepsia,15381.119999999999,4
4566,Mathare North Ward,Gastritis - unspecified,68270.7,15
4567,Mathare North Ward,Gastritis and duodenitis,29617.54,5
4568,Mathare North Ward,Gastroduodenitis - unspecified,4745.12,1
4569,Mathare North Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,17098.399999999998,4
4570,Mathare North Ward,Gout - unspecified,14335.400000000001,2
4571,Mathare North Ward,Headache,22944.08,4
4572,Mathare North Ward,Hereditary and idiopathic neuropathy,3016.0,1
4573,Mathare North Ward,Hypertensive heart disease,50382.36,9
4574,Mathare North Ward,Hypoparathyroidism,3688.0,1
4575,Mathare North Ward,Hypothyroidism - unspecified,7779.2,1
4576,Mathare North Ward,Impacted cerumen - Other disorders of external ear,2760.43,1
4577,Mathare North Ward,Impacted teeth - Embedded and impacted teeth,2324.8,1
4578,Mathare North Ward,Injury of muscle and tendon at shoulder and upper arm level,5267.74,1
4579,Mathare North Ward,Iron deficiency anaemia,1467.2,1
4580,Mathare North Ward,Lumbago with sciatica - Dorsalgia,117410.52,6
4581,Mathare North Ward,Malaise and fatigue,4246.88,1
4582,Mathare North Ward,Malignant neoplasm of other and ill-defined sites: Abdomen - Malignant neoplasm of other and ill-defined sites,16881.54,4
4583,Mathare North Ward,Multiple fractures of fingers - Fracture at wrist and hand level,2000.0,1
4584,Mathare North Ward,Mumps,2836.68,1
4585,Mathare North Ward,Myalgia - Other soft tissue disorders,7081.6,1
4586,Mathare North Ward,Nausea and vomiting,2517.6,1
4587,Mathare North Ward,Need for immunization against combinations of infectious diseases,6634.43,2
4588,Mathare North Ward,Need for immunization against other combinations of infectious diseases - Need for immunization against combinations of infectious diseases,15091.779999999999,2
4589,Mathare North Ward,Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue - Neoplasm of uncertain or unknown behaviour of other and unspecified sites,13885.12,2
4590,Mathare North Ward,Orchitis and epididymitis,1000.0,1
4591,Mathare North Ward,Other acute gastritis - Gastritis and duodenitis,1840.0,1
4592,Mathare North Ward,Other allergic rhinitis - Vasomotor and allergic rhinitis,12099.64,3
4593,Mathare North Ward,Other lower urinary tract calculus - Calculus of lower urinary tract,1894.88,1
4594,Mathare North Ward,Other special examinations and investigations of persons without complaint or reported diagnosis,8788.0,1
4595,Mathare North Ward,Other specified diabetes mellitus,2935.36,2
4596,Mathare North Ward,Otitis media in diseases classified elsewhere,3059.95,1
4597,Mathare North Ward,Sciatica - Dorsalgia,4340.0,1
4598,Mathare North Ward,Supervision of normal pregnancy,6025.44,1
4599,Mathare North Ward,Tinea corporis - Dermatophytosis,13087.84,4
4600,Mathare North Ward,Type 2 diabetes mellitus,38059.67,4
4601,Mathare North Ward,Unspecified acute lower respiratory infection,8979.04,1
4602,Mathare North Ward,Unspecified diabetes mellitus,65005.35,9
4603,Mathare North Ward,Urinary tract infection - site not specified,24676.3,3
4604,Matopeni/spring Valley Ward,Acne vulgaris - Acne,2505.28,1
4605,Matopeni/spring Valley Ward,Acute atopic conjunctivitis - Conjunctivitis,8499.24,2
4606,Matopeni/spring Valley Ward,Acute laryngitis - Acute laryngitis and tracheitis,18142.56,3
4607,Matopeni/spring Valley Ward,Acute laryngitis and tracheitis,2397.64,1
4608,Matopeni/spring Valley Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,19409.92,4
4609,Matopeni/spring Valley Ward,Acute nasopharyngitis [common cold],114101.25,25
4610,Matopeni/spring Valley Ward,Acute pharyngitis,91148.83,16
4611,Matopeni/spring Valley Ward,Acute sinusitis - unspecified,12301.0,1
4612,Matopeni/spring Valley Ward,Acute tonsillitis,126344.38,26
4613,Matopeni/spring Valley Ward,Acute tonsillitis - unspecified,4408.0,1
4614,Matopeni/spring Valley Ward,Acute tonsillitis due to other specified organisms - Acute tonsillitis,2000.0,1
4615,Matopeni/spring Valley Ward,Acute upper respiratory infection - unspecified,51011.27,9
4616,Matopeni/spring Valley Ward,Acute upper respiratory infections of multiple and unspecified sites,81390.92,3
4617,Matopeni/spring Valley Ward,Adenoviral pneumonia - Viral pneumonia,33626.96,4
4618,Matopeni/spring Valley Ward,Alcoholic gastritis - Gastritis and duodenitis,14099.25,2
4619,Matopeni/spring Valley Ward,Allergic contact dermatitis,9001.76,3
4620,Matopeni/spring Valley Ward,Allergic rhinitis - unspecified,48385.92,7
4621,Matopeni/spring Valley Ward,Allergic rhinitis due to pollen - Vasomotor and allergic rhinitis,1000.0,1
4622,Matopeni/spring Valley Ward,Amoebiasis,15661.7,2
4623,Matopeni/spring Valley Ward,Anaemia - unspecified,2037.12,1
4624,Matopeni/spring Valley Ward,Anal spasm - Other functional intestinal disorders,5697.64,1
4625,Matopeni/spring Valley Ward,Antenatal screening,9560.0,1
4626,Matopeni/spring Valley Ward,Arthritis - unspecified,6961.55,1
4627,Matopeni/spring Valley Ward,Asthma,10698.32,2
4628,Matopeni/spring Valley Ward,Asthma - unspecified,4080.0,1
4629,Matopeni/spring Valley Ward,Atopic dermatitis,10270.08,3
4630,Matopeni/spring Valley Ward,Bacterial infection - unspecified,8903.76,1
4631,Matopeni/spring Valley Ward,Bacterial pneumonia - not elsewhere classified,4246.24,1
4632,Matopeni/spring Valley Ward,Bacterial pneumonia - unspecified,5389.69,1
4633,Matopeni/spring Valley Ward,Calculus of lower urinary tract,4140.4,1
4634,Matopeni/spring Valley Ward,Chronic conjunctivitis - Conjunctivitis,851.0,1
4635,Matopeni/spring Valley Ward,Chronic gastritis - unspecified,7609.57,1
4636,Matopeni/spring Valley Ward,Chronic nasopharyngitis - Chronic rhinitis,4956.68,1
4637,Matopeni/spring Valley Ward,Chronic obstructive pulmonary disease with acute lower respiratory infection - Other chronic obstructive pulmonary disease,10502.7,1
4638,Matopeni/spring Valley Ward,Chronic rhinitis,8173.6,1
4639,Matopeni/spring Valley Ward,Chronic tonsillitis - Chronic diseases of tonsils and adenoids,4012.8,1
4640,Matopeni/spring Valley Ward,Conjunctivitis,5588.96,2
4641,Matopeni/spring Valley Ward,Crushing injuries involving multiple body regions,21973.0,1
4642,Matopeni/spring Valley Ward,Cutaneous abscess - furuncle and carbuncle,16481.6,2
4643,Matopeni/spring Valley Ward,Dental caries,100369.22,16
4644,Matopeni/spring Valley Ward,Dental caries - unspecified,16251.72,3
4645,Matopeni/spring Valley Ward,Disorder of muscle - unspecified,23822.4,1
4646,Matopeni/spring Valley Ward,Dizziness and giddiness,8736.9,2
4647,Matopeni/spring Valley Ward,Eczema herpeticum - Herpesviral [herpes simplex] infections,11549.6,1
4648,Matopeni/spring Valley Ward,Essential (primary) hypertension,54489.88,12
4649,Matopeni/spring Valley Ward,Female infertility,6409.4,2
4650,Matopeni/spring Valley Ward,Female pelvic inflammatory disease - unspecified,2378.72,1
4651,Matopeni/spring Valley Ward,Female pelvic inflammatory disorders in diseases classified elsewhere,6786.84,1
4652,Matopeni/spring Valley Ward,Fever - unspecified,2540.0,1
4653,Matopeni/spring Valley Ward,Fracture of thumb - Fracture at wrist and hand level,3465.4,1
4654,Matopeni/spring Valley Ward,Functional diarrhoea - Other functional intestinal disorders,10589.44,1
4655,Matopeni/spring Valley Ward,Functional dyspepsia,24710.78,5
4656,Matopeni/spring Valley Ward,Gastric ulcer,1787.52,1
4657,Matopeni/spring Valley Ward,Gastritis - unspecified,68947.79000000001,12
4658,Matopeni/spring Valley Ward,Gastritis and duodenitis,21063.72,5
4659,Matopeni/spring Valley Ward,Gastro-oesophageal reflux disease with oesophagitis - Gastro-oesophageal reflux disease,3753.12,1
4660,Matopeni/spring Valley Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,13881.859999999999,4
4661,Matopeni/spring Valley Ward,Headache,9585.48,3
4662,Matopeni/spring Valley Ward,Hyperplasia of prostate,4036.2,1
4663,Matopeni/spring Valley Ward,Hypertensive heart disease,32884.04,9
4664,Matopeni/spring Valley Ward,Hypoparathyroidism,12538.0,2
4665,Matopeni/spring Valley Ward,Impetigo,4931.73,1
4666,Matopeni/spring Valley Ward,Injury of urethra - Injury of urinary and pelvic organs,2680.0,1
4667,Matopeni/spring Valley Ward,Lumbago with sciatica - Dorsalgia,35244.31,8
4668,Matopeni/spring Valley Ward,Malignant neoplasm of other and ill-defined sites: Abdomen - Malignant neoplasm of other and ill-defined sites,7899.46,2
4669,Matopeni/spring Valley Ward,Migraine,7894.8,1
4670,Matopeni/spring Valley Ward,Mumps,7203.8,2
4671,Matopeni/spring Valley Ward,Muscle strain - Other disorders of muscle,10203.04,1
4672,Matopeni/spring Valley Ward,Nausea and vomiting,16919.06,4
4673,Matopeni/spring Valley Ward,Need for immunization against other combinations of infectious diseases - Need for immunization against combinations of infectious diseases,7196.96,1
4674,Matopeni/spring Valley Ward,Obstetric pyaemic and septic embolism - Obstetric embolism,1224.0,1
4675,Matopeni/spring Valley Ward,Osteopetrosis - Other osteochondrodysplasias,9005.23,2
4676,Matopeni/spring Valley Ward,Other abdominal hernia,3091.2,1
4677,Matopeni/spring Valley Ward,Other abnormal uterine and vaginal bleeding,2476.16,1
4678,Matopeni/spring Valley Ward,Other acute gastritis - Gastritis and duodenitis,5420.0,1
4679,Matopeni/spring Valley Ward,Other chest pain - Pain in throat and chest,2461.6,1
4680,Matopeni/spring Valley Ward,Other secondary hypertension - Secondary hypertension,4959.68,1
4681,Matopeni/spring Valley Ward,Other soft tissue disorders related to use - overuse and pressure,4548.0,2
4682,Matopeni/spring Valley Ward,Other specified abnormal uterine and vaginal bleeding - Other abnormal uterine and vaginal bleeding,7710.24,2
4683,Matopeni/spring Valley Ward,Other specified diabetes mellitus,32477.44,2
4684,Matopeni/spring Valley Ward,Other specified fever - Fever of other and unknown origin,3726.08,1
4685,Matopeni/spring Valley Ward,Other streptococcal sepsis - Streptococcal sepsis,2628.48,1
4686,Matopeni/spring Valley Ward,Other superficial mycoses,1000.0,1
4687,Matopeni/spring Valley Ward,Pulpitis - Diseases of pulp and periapical tissues,13582.08,4
4688,Matopeni/spring Valley Ward,Sciatica - Dorsalgia,6177.6,1
4689,Matopeni/spring Valley Ward,Sprain and strain of ankle - Dislocation,3039.52,1
4690,Matopeni/spring Valley Ward,Supervision of high-risk pregnancy,8953.96,1
4691,Matopeni/spring Valley Ward,Supervision of normal pregnancy,4150.56,1
4692,Matopeni/spring Valley Ward,Tinea corporis - Dermatophytosis,13680.16,2
4693,Matopeni/spring Valley Ward,Tinea pedis - Dermatophytosis,6007.76,2
4694,Matopeni/spring Valley Ward,Type 2 diabetes mellitus,10917.79,3
4695,Matopeni/spring Valley Ward,Unspecified diabetes mellitus,46943.39,9
4696,Matopeni/spring Valley Ward,Varicella [chickenpox],2283.36,1
4697,Mihango Ward,Abdominal and pelvic pain,10195.24,3
4698,Mihango Ward,Acute bronchitis due to streptococcus - Acute bronchitis,9776.8,1
4699,Mihango Ward,Acute conjunctivitis - unspecified,5718.4,1
4700,Mihango Ward,Acute laryngitis - Acute laryngitis and tracheitis,207054.56,3
4701,Mihango Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,15426.32,5
4702,Mihango Ward,Acute nasopharyngitis [common cold],149141.34,42
4703,Mihango Ward,Acute pharyngitis,80995.59,19
4704,Mihango Ward,Acute pharyngitis - unspecified,11444.14,2
4705,Mihango Ward,Acute sinusitis,6956.0,2
4706,Mihango Ward,Acute tonsillitis,133153.0,28
4707,Mihango Ward,Acute tonsillitis - unspecified,12967.400000000001,3
4708,Mihango Ward,Acute upper respiratory infection - unspecified,202659.66999999998,11
4709,Mihango Ward,Acute upper respiratory infections of multiple and unspecified sites,12941.04,2
4710,Mihango Ward,Acute vaginitis - Other inflammation of vagina and vulva,7782.56,2
4711,Mihango Ward,Adenoviral pneumonia - Viral pneumonia,2962.24,1
4712,Mihango Ward,Alcoholic gastritis - Gastritis and duodenitis,3647.4,1
4713,Mihango Ward,Allergic contact dermatitis,33531.770000000004,6
4714,Mihango Ward,Allergic rhinitis - unspecified,40323.72,11
4715,Mihango Ward,Amoebiasis,6175.04,2
4716,Mihango Ward,Anaemia - unspecified,7608.28,2
4717,Mihango Ward,Anal polyp - Other diseases of anus and rectum,3196.32,1
4718,Mihango Ward,Antenatal screening,11918.4,3
4719,Mihango Ward,Arthritis - unspecified,7910.4,1
4720,Mihango Ward,Asthma,4703.72,1
4721,Mihango Ward,Atopic dermatitis,12147.220000000001,3
4722,Mihango Ward,Bacterial pneumonia - unspecified,5422.2,2
4723,Mihango Ward,Calculus in urethra - Calculus of lower urinary tract,3047.36,1
4724,Mihango Ward,Calculus of lower urinary tract,13192.22,3
4725,Mihango Ward,Cellulitis of other parts of limb - Cellulitis,6389.44,1
4726,Mihango Ward,Chronic conjunctivitis - Conjunctivitis,5141.76,1
4727,Mihango Ward,Chronic gastritis - unspecified,5035.64,1
4728,Mihango Ward,Chronic mucoid otitis media - Nonsuppurative otitis media,5000.0,1
4729,Mihango Ward,Chronic nasopharyngitis - Chronic rhinitis,27403.24,6
4730,Mihango Ward,Chronic rhinitis,8641.99,2
4731,Mihango Ward,Chronic rhinitis - nasopharyngitis and pharyngitis,5615.54,1
4732,Mihango Ward,Chronic serous otitis media - Nonsuppurative otitis media,7114.06,1
4733,Mihango Ward,Chronic tonsillitis - Chronic diseases of tonsils and adenoids,5640.08,1
4734,Mihango Ward,Contusion of ankle - Superficial injury of ankle and foot,1478.4,1
4735,Mihango Ward,Contusion of hip - Superficial injury of hip and thigh,1000.0,1
4736,Mihango Ward,Contusion of shoulder and upper arm - Superficial injury of shoulder and upper arm,3310.56,1
4737,Mihango Ward,Cough,29645.28,3
4738,Mihango Ward,Cramp and spasm - Abnormal involuntary movements,4565.4,1
4739,Mihango Ward,Crushing injury of thumb and other finger(s) - Crushing injury of wrist and hand,1657.44,1
4740,Mihango Ward,Dental caries,94437.34,21
4741,Mihango Ward,Dental caries - unspecified,14444.640000000001,3
4742,Mihango Ward,Diabetes insipidus - Hypofunction and other disorders of pituitary gland,7194.4,1
4743,Mihango Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - non-insulin-dependent,22293.76,3
4744,Mihango Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,9142.08,2
4745,Mihango Ward,Disorders of initiating and maintaining sleep [insomnias] - Sleep disorders,1841.0,1
4746,Mihango Ward,Eczema herpeticum - Herpesviral [herpes simplex] infections,43914.0,1
4747,Mihango Ward,Essential (primary) hypertension,56087.68,11
4748,Mihango Ward,Excessive - frequent and irregular menstruation,3850.4,1
4749,Mihango Ward,Female infertility,25113.34,2
4750,Mihango Ward,Female pelvic inflammatory disease - unspecified,13608.86,2
4751,Mihango Ward,Fever of other and unknown origin,7246.72,1
4752,Mihango Ward,Functional dyspepsia,36534.4,6
